address,name,stars,longitude,postal_code,business_id,latitude,review_count,categories,city,is_open,hours,attributes,state
2401 Scranton Rd,Pizza Pan,2.0,-81.6943074,44113,NbjeMaUoYT_XUB8PWnwLkw,41.4794737,5,Restaurants|Pizza,Cleveland,0,Monday@10:0-23:0|Tuesday@10:0-23:0|Wednesday@10:0-23:0|Thursday@10:0-23:0|Friday@10:0-0:0|Saturday@10:0-0:0|Sunday@10:0-23:0,"RestaurantsDelivery@True, RestaurantsPriceRange2@1, RestaurantsTakeOut@True",OH
5969 State Rd,Angelos Cobbler Shoppe,5.0,-81.7101511,44134,RLyqeVI4a-019BRK-9IhzQ,41.4006516,3,Shoe Repair|Local Services,Cleveland,1,,,OH
2050 W 65th St,Flash Auto Wash,4.5,-81.730513,44102,GACpVvSvnL56jkPL_j9tTw,41.475672,12,Automotive|Car Wash,Cleveland,1,,BusinessAcceptsCreditCards@False,OH
5557 Wilson Mills Rd,Biagio Deli & Beverage,4.5,-81.479358,44143,TokG1L02Eic6gHRFa0gFYQ,41.5395398,9,Restaurants|Delis,Cleveland,0,,"HasTV@False, BikeParking@False, RestaurantsAttire@casual, BusinessAcceptsCreditCards@True, OutdoorSeating@False, NoiseLevel@uquiet, RestaurantsReservations@False, GoodForKids@True, RestaurantsTakeOut@True, RestaurantsDelivery@False, RestaurantsPriceRange2@1, Caters@True, RestaurantsGoodForGroups@True",OH
2015 East 4th St Ste 220,East 4th Street Apartments,3.5,-81.6901532,44115,twUT7HL8twMmbn9Q0H_usg,41.4994143,3,Apartments|Property Management|Real Estate|Home Services,Cleveland,1,Monday@8:30-17:30|Tuesday@8:30-17:30|Wednesday@8:30-17:30|Thursday@8:30-17:30|Friday@8:30-17:30,BusinessAcceptsCreditCards@False,OH
2179 W 11th St,Parallax Restaurant and Lounge,4.0,-81.68906,44113,9IJ-TE4HEcAJQkUtc1A_Vw,41.482406,207,Restaurants|Asian Fusion|Sushi Bars|Thai,Cleveland,1,Monday@11:30-22:0|Tuesday@11:30-22:0|Wednesday@11:30-22:0|Thursday@11:30-22:0|Friday@11:30-0:0|Saturday@17:0-0:0,"RestaurantsPriceRange2@3, RestaurantsDelivery@False, GoodForKids@False, WiFi@uno, RestaurantsGoodForGroups@True, RestaurantsTakeOut@True, Alcohol@full_bar, BikeParking@True, HasTV@True, BusinessAcceptsCreditCards@True, Caters@False, NoiseLevel@uaverage, OutdoorSeating@True, BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, RestaurantsReservations@True, GoodForMeal@dessert@False, latenight@False, lunch@False, dinner@True, brunch@False, breakfast@False, RestaurantsAttire@casual, Ambience@romantic@False, intimate@False, classy@False, hipster@False, divey@False, touristy@False, trendy@True, upscale@False, casual@False",OH
15200 Brookpark Rd,Break Time Bar and Grill,2.5,-81.80340864,44135,0DapwcHS0YWNeHKptURSCA,41.41880073,3,American (Traditional)|Restaurants|Bars|Nightlife,Cleveland,0,Monday@11:0-2:0|Tuesday@11:0-2:0|Wednesday@11:0-2:0|Thursday@11:0-2:0|Friday@11:0-2:0|Saturday@11:0-0:0,"RestaurantsPriceRange2@1, RestaurantsGoodForGroups@True, RestaurantsReservations@False, RestaurantsDelivery@False, RestaurantsTakeOut@True, BusinessAcceptsCreditCards@True, GoodForKids@True",OH
4377 State Rd,Guss Family Restaurant,4.0,-81.7066462,44109,nL4cq4GEz4uiM48nz5E7ug,41.4351813,38,Breakfast & Brunch|Restaurants|American (Traditional),Cleveland,1,Monday@7:0-15:0|Tuesday@7:0-15:0|Wednesday@7:0-15:0|Thursday@7:0-15:0|Friday@7:0-15:0|Saturday@7:0-15:0|Sunday@8:0-15:0,"WiFi@ufree, NoiseLevel@uaverage, HasTV@False, GoodForKids@True, Ambience@touristy@False, hipster@False, romantic@False, divey@False, intimate@False, trendy@False, upscale@False, classy@False, casual@True, RestaurantsTakeOut@True, Alcohol@unone, RestaurantsDelivery@False, BusinessAcceptsCreditCards@True, BusinessParking@garage@False, street@True, validated@False, lot@True, valet@False, RestaurantsGoodForGroups@True, RestaurantsReservations@False, Caters@False, OutdoorSeating@False, RestaurantsPriceRange2@1, BikeParking@False, RestaurantsAttire@casual",OH
5300 Riverside Dr,U Food Grill,2.5,-81.833665,44135,ln-9sGJL8hVjSDwDcwEXWw,41.410913,7,Juice Bars & Smoothies|Restaurants|Sandwiches|Food,Cleveland,1,Monday@6:0-21:30|Tuesday@6:0-21:30|Wednesday@6:0-21:30|Thursday@6:0-21:30|Friday@6:0-21:30|Saturday@6:0-21:30|Sunday@6:0-21:30,"HasTV@False, OutdoorSeating@False, RestaurantsTakeOut@True, Alcohol@unone, RestaurantsGoodForGroups@False, RestaurantsAttire@casual, BusinessAcceptsCreditCards@True, RestaurantsPriceRange2@1, RestaurantsDelivery@False, RestaurantsReservations@False, Ambience@None",OH
4402 Lorain Ave,One Stop Sunoco,1.5,-81.7167252,44113,iP94mEUwVAjS56REFqD6hQ,41.4793602,5,Automotive|Gas Stations,Cleveland,1,,BusinessAcceptsCreditCards@True,OH
6706 Detroit Ave,Ninja City Kitchen and Bar,4.0,-81.73161973,44102,0-jqS5y4D-6Zohb3Q375ZQ,41.48395576,26,Nightlife|Asian Fusion|Restaurants|Japanese|Ramen|American (New)|Bars,Cleveland,1,Monday@11:0-0:0|Tuesday@11:0-0:0|Wednesday@11:0-0:0|Thursday@11:0-2:0|Friday@11:0-2:0|Saturday@11:0-2:0|Sunday@11:0-0:0,,OH
10616 Lorain Ave,Pizza Hut,1.0,-81.760242,44111,F9JDMhOEDsE0PnutWhGqAQ,41.465371,4,Italian|Chicken Wings|Restaurants|Pizza,Cleveland,1,,"RestaurantsTakeOut@True, RestaurantsDelivery@True, Caters@False, BusinessAcceptsCreditCards@True, RestaurantsReservations@False",OH
2362 Professor Ave,Tremont Scoops,4.0,-81.6854883,44113,GhOWffUr9yDBxB5Ceqzc_Q,41.4800318,89,Food|Ice Cream & Frozen Yogurt,Cleveland,1,Monday@16:0-21:0|Tuesday@16:0-21:0|Wednesday@16:0-21:0|Thursday@16:0-21:0|Friday@16:0-22:0|Saturday@12:0-22:0|Sunday@12:0-21:0,"BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, RestaurantsPriceRange2@1, RestaurantsTakeOut@True, WiFi@uno, BusinessAcceptsCreditCards@True, BikeParking@True, Caters@False",OH
2000 Sycamore St,Greater Cleveland Aquarium,3.0,-81.703678,44113,4DVqziHGABcYUUw_E36c5g,41.496702,151,Aquariums|Arts & Entertainment|Event Planning & Services|Active Life|Museums|Venues & Event Spaces,Cleveland,1,Monday@10:0-17:0|Tuesday@10:0-17:0|Wednesday@10:0-17:0|Thursday@10:0-17:0|Friday@10:0-17:0|Saturday@10:0-17:0|Sunday@10:0-17:0,"BusinessAcceptsCreditCards@True, BusinessParking@garage@False, street@False, validated@False, lot@True, valet@False, GoodForKids@True, BikeParking@True",OH
3784 W 117th St,Subway,3.0,-81.7694673,44111,YTNgCm8-TlyLvkBXCGxeMg,41.4500971,3,Sandwiches|Restaurants|Fast Food,Cleveland,1,,"Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@False, classy@False, trendy@False, upscale@False, casual@False, HasTV@False, RestaurantsPriceRange2@1, NoiseLevel@uquiet, Caters@True, GoodForKids@True, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, RestaurantsTakeOut@True, OutdoorSeating@False, RestaurantsAttire@ucasual, BusinessAcceptsCreditCards@True, Alcohol@unone, RestaurantsReservations@False, RestaurantsDelivery@False, RestaurantsGoodForGroups@False, WiFi@uno",OH
1075 Old River Rd,Thirsty Dog East Bank,3.0,-81.7060181,44113,sFz9UyOTZLMAfSP0yyIODQ,41.4995718,60,Food|American (New)|Brewpubs|Restaurants|Breweries,Cleveland,1,Monday@11:0-1:0|Tuesday@11:0-1:0|Wednesday@11:0-1:0|Thursday@11:0-1:0|Friday@11:0-2:0|Saturday@11:0-2:0|Sunday@10:0-23:0,"Caters@False, BusinessAcceptsCreditCards@True, RestaurantsPriceRange2@2, BikeParking@True, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, RestaurantsTakeOut@False",OH
11409 Euclid Ave,The Corner Alley at Uptown,3.0,-81.6054119,44106,OOXUDZVOREgjwrLiwr3Spg,41.5092654,49,Nightlife|American (Traditional)|Sports Bars|Active Life|Arts & Entertainment|Bowling|American (New)|Bars|Restaurants|Italian,Cleveland,0,Monday@0:0-0:0|Tuesday@11:30-22:0|Wednesday@11:30-22:0|Thursday@11:30-21:0|Friday@11:30-2:0|Saturday@11:30-21:0|Sunday@17:0-22:0,"Ambience@touristy@False, hipster@False, romantic@False, divey@False, intimate@False, trendy@True, upscale@False, classy@False, casual@True, RestaurantsAttire@ucasual, Smoking@uoutdoor, Music@, WiFi@ufree, HasTV@True, Caters@False, HappyHour@True, Alcohol@ufull_bar, RestaurantsGoodForGroups@True, CoatCheck@True, DogsAllowed@False, RestaurantsTakeOut@True, BikeParking@True, GoodForMeal@dessert@True, latenight@True, lunch@False, dinner@False, brunch@False, breakfast@False, GoodForKids@True, RestaurantsDelivery@False, RestaurantsReservations@True, BusinessParking@garage@True, street@True, validated@False, lot@False, valet@True, BusinessAcceptsBitcoin@False, GoodForDancing@False, RestaurantsTableService@True, BestNights@monday@False, tuesday@False, friday@False, wednesday@False, thursday@True, sunday@False, saturday@False, RestaurantsPriceRange2@2, BusinessAcceptsCreditCards@True, OutdoorSeating@True, WheelchairAccessible@True, NoiseLevel@uloud",OH
12733 Larchmere Blvd,Shaker Square Antiques,4.5,-81.5933435,44120,9ez1Yru6DIWbJ-eFhw10lA,41.487772,3,Arts & Entertainment|Antiques|Art Galleries|Shopping,Cleveland,0,,"BusinessAcceptsCreditCards@True, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, ByAppointmentOnly@False, RestaurantsPriceRange2@4, GoodForKids@False",OH
5005 Euclid Ave,Cleveland Family Store and Adult Rehabilitation Center,3.0,-81.6540128,44103,yhOvThxVOqRRavZ_qPcAWw,41.5049102,7,Thrift Stores|Shopping|Donation Center|Rehabilitation Center|Local Services|Used|Vintage & Consignment|Fashion|Health & Medical,Cleveland,1,Monday@9:0-20:0|Tuesday@9:0-20:0|Wednesday@9:0-20:0|Thursday@9:0-20:0|Friday@9:0-20:0|Saturday@9:0-20:0,"BusinessAcceptsCreditCards@True, RestaurantsPriceRange2@1",OH
4811 Valley Pkwy,Big Met Golf Course-Cleveland Metroparks,4.0,-81.835243,44126,urtt8vB8ILa5On4D09fOXw,41.445848,4,Active Life|Golf,Cleveland,1,Monday@7:0-19:0|Tuesday@7:0-19:0|Wednesday@7:0-19:0|Thursday@7:0-19:0|Friday@7:0-19:0|Saturday@7:0-19:0|Sunday@7:0-19:0,"GoodForKids@True, BikeParking@True, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False",OH
3120 Superior Ave E,Number One Pho,3.5,-81.6691226,44114,XUA7xA7myMaCuN6G3xYdIA,41.5108298,187,Tex-Mex|Vietnamese|Restaurants,Cleveland,1,Monday@11:0-20:30|Tuesday@11:0-20:30|Wednesday@11:0-20:30|Thursday@11:0-20:30|Friday@11:0-21:30|Saturday@11:0-21:30|Sunday@11:0-20:30,"BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, RestaurantsGoodForGroups@True, Caters@False, BYOBCorkage@no, GoodForKids@True, RestaurantsReservations@True, RestaurantsPriceRange2@2, BikeParking@True, BusinessAcceptsCreditCards@True, GoodForMeal@dessert@False, latenight@False, lunch@True, dinner@False, brunch@False, breakfast@False, BusinessAcceptsBitcoin@False, RestaurantsTableService@True, RestaurantsAttire@casual, RestaurantsDelivery@False, NoiseLevel@uaverage, HasTV@True, RestaurantsTakeOut@True, Alcohol@unone, Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@False, classy@False, trendy@False, upscale@False, casual@True, OutdoorSeating@False, DogsAllowed@False, WheelchairAccessible@False, WiFi@ufree",OH
797 Bishop Rd,LaRichs Pizza,3.5,-81.4780912,44143,vuC03KldDXReH8VTqRK03g,41.5395116,7,Italian|Pizza|Chicken Wings|Restaurants,Cleveland,1,Monday@11:0-21:0|Tuesday@11:0-22:0|Wednesday@11:0-22:0|Thursday@11:0-22:0|Friday@11:0-22:0|Saturday@12:0-22:0|Sunday@12:0-21:0,"BusinessAcceptsCreditCards@True, GoodForKids@True, RestaurantsTakeOut@True, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, Ambience@romantic@False, intimate@False, classy@False, hipster@False, divey@False, touristy@False, trendy@False, upscale@False, casual@False, RestaurantsDelivery@True, HasTV@False, RestaurantsReservations@False, BikeParking@False, RestaurantsAttire@ucasual, OutdoorSeating@False, RestaurantsGoodForGroups@False, NoiseLevel@loud, WiFi@ufree, Caters@True, Alcohol@none, RestaurantsPriceRange2@3",OH
3176 Fulton Rd,The Grill On Fulton,4.5,-81.707812,44109,TS4YBX-Wd71lrN6lwKCj0Q,41.467478,3,Caterers|Event Planning & Services|Barbeque|Restaurants|Mediterranean,Cleveland,0,Monday@11:0-20:0|Tuesday@11:0-20:0|Wednesday@11:0-20:0|Thursday@11:0-20:0|Friday@11:0-20:0|Saturday@11:0-20:0|Sunday@11:0-16:0,"RestaurantsDelivery@False, RestaurantsTakeOut@True, NoiseLevel@uaverage",OH
801 W Superior Ave,strEat Mobile Bistro,4.5,-81.6972642,44113,aOvEr1tluvkmwZjpzfxBAg,41.4961829,20,Street Vendors|Food Stands|Restaurants|Food|Cafes|Food Trucks|American (New),Cleveland,1,Monday@9:0-23:30|Tuesday@9:0-23:30|Wednesday@9:0-23:30|Thursday@9:0-23:30|Friday@9:0-23:30|Saturday@9:0-23:30|Sunday@9:0-23:30,"RestaurantsTakeOut@True, Alcohol@unone, Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@False, classy@False, trendy@False, upscale@False, casual@False, RestaurantsPriceRange2@1, RestaurantsGoodForGroups@True, RestaurantsAttire@ucasual, BusinessAcceptsCreditCards@True, RestaurantsReservations@False, RestaurantsDelivery@False, GoodForKids@True, Caters@True, OutdoorSeating@True, HasTV@False",OH
14201 Harvard Ave,Harvard Wine & Grill,2.5,-81.5827479,44128,HYN6S4Z7bMR68TF2lX3NIw,41.449265,10,Bars|Restaurants|Wine Bars|American (Traditional)|Nightlife|Barbeque,Cleveland,1,,"OutdoorSeating@True, Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@False, classy@False, trendy@False, upscale@False, casual@False, RestaurantsReservations@False, NoiseLevel@uloud, RestaurantsTakeOut@True, Caters@False, HasTV@True, RestaurantsPriceRange2@3, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, Alcohol@ufull_bar, BusinessAcceptsCreditCards@True, GoodForKids@False, RestaurantsDelivery@False, RestaurantsAttire@udressy, RestaurantsGoodForGroups@True, WiFi@ufree",OH
25373 Cedar Rd,Brides by Demetrios,2.5,-81.5015612,44124,y0u8Q0O2xvhGs165VYZ-6w,41.5013669,12,Fashion|Shopping|Womens Clothing,Cleveland,1,,"BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, BikeParking@False, RestaurantsPriceRange2@4, BusinessAcceptsCreditCards@True",OH
351 Canal Rd,Time Warner Cable,2.0,-81.6948929,44113,ymn4YVFgXy_rLlnoatEqzQ,41.49609,6,Music Venues|Local Services|Home Services|Arts & Entertainment|Internet Service Providers|IT Services & Computer Repair|Nightlife|Professional Services,Cleveland,0,,"RestaurantsPriceRange2@1, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False",OH
355 Bishop Rd,Security Self Storage - Highland Heights,3.5,-81.475386,44143,Z9KuhiEFOnucEOmYdTT_lg,41.563332,3,Local Services|Self Storage,Cleveland,1,Monday@9:0-17:0|Tuesday@9:0-17:0|Wednesday@9:0-17:0|Thursday@9:0-17:0|Friday@9:0-17:0|Saturday@9:0-17:0,,OH
629 Euclid Ave Ste 102,Sammys Grille,4.0,-81.68885301,44103,Vj-QgRXDpCm7vLBBSckx8g,41.50050906,32,Diners|American (Traditional)|Salad|Breakfast & Brunch|Burgers|Restaurants,Cleveland,0,,"RestaurantsTakeOut@True, WiFi@no, Caters@False, RestaurantsAttire@casual, BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, RestaurantsReservations@False, OutdoorSeating@False, Alcohol@none, GoodForKids@True, Ambience@romantic@False, intimate@False, classy@False, hipster@False, divey@True, touristy@False, trendy@False, upscale@False, casual@False, BusinessAcceptsCreditCards@True, HasTV@False, RestaurantsDelivery@False, NoiseLevel@uaverage, RestaurantsPriceRange2@1, BikeParking@True, RestaurantsGoodForGroups@True",OH
5871 Mayfield Rd,Golden Dragon,2.5,-81.4678638,44124,qbDaSyxDfUZNheucJym2Pg,41.5205198,42,Seafood|Restaurants|Chinese,Cleveland,1,Monday@11:0-22:0|Tuesday@11:0-22:0|Wednesday@11:0-22:0|Thursday@11:0-22:0|Friday@11:0-23:0|Saturday@12:0-23:0|Sunday@12:0-22:0,"RestaurantsGoodForGroups@True, BikeParking@False, Alcohol@ufull_bar, RestaurantsDelivery@False, WiFi@uno, BusinessParking@garage@False, street@False, validated@False, lot@True, valet@False, Ambience@romantic@False, intimate@False, classy@False, hipster@False, divey@False, touristy@False, trendy@False, upscale@False, casual@True, Caters@True, GoodForKids@True, RestaurantsTakeOut@True, RestaurantsPriceRange2@2, OutdoorSeating@False, RestaurantsReservations@True, NoiseLevel@uquiet, BusinessAcceptsCreditCards@True, HasTV@True, RestaurantsAttire@ucasual",OH
1501 N Marginal Rd Ste 166,Cleveland National Air Show,4.5,-81.690082,44114,O5rigVcF_67GsPlXVi_zVQ,41.511567,10,Airports|Arts & Entertainment|Hotels & Travel|Ticket Sales|Festivals,Cleveland,1,,GoodForKids@True,OH
2242 Professor Ave,Banyan Tree,4.0,-81.6867716,44113,rschLsESGfreHfWWJcd6eA,41.4813669,41,Home & Garden|Shopping|Interior Design|Fashion|Womens Clothing|Accessories|Home Decor|Home Services,Cleveland,1,Monday@11:0-19:0|Tuesday@11:0-19:0|Wednesday@11:0-19:0|Thursday@11:0-21:0|Friday@11:0-21:0|Saturday@11:0-21:0|Sunday@11:0-16:0,"RestaurantsPriceRange2@2, BusinessAcceptsCreditCards@True, BikeParking@True, BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False",OH
3323 W 25th St,Mahas Cafe,4.5,-81.700223,44109,C68LYoOSiitXTczAFXjdiQ,41.463873,24,Restaurants|Middle Eastern,Cleveland,0,Monday@9:0-17:30|Tuesday@9:0-17:30|Wednesday@9:0-17:30|Thursday@9:0-17:30|Friday@9:0-17:30,"Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@False, classy@False, trendy@False, upscale@False, casual@True, RestaurantsPriceRange2@1, RestaurantsTakeOut@True, BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, BusinessAcceptsCreditCards@True, RestaurantsDelivery@False, RestaurantsAttire@ucasual, RestaurantsGoodForGroups@True, GoodForKids@True, HasTV@False, Alcohol@unone, OutdoorSeating@False, Caters@True, NoiseLevel@uaverage, WiFi@uno, RestaurantsReservations@False",OH
8514 Carnegie Ave,Bens Auto Body Specialists,5.0,-81.6275323,44106,pEMoLmRkS2dyIm_KpIr4hg,41.5007392,3,Automotive|Body Shops,Cleveland,1,Monday@8:0-18:30|Tuesday@8:0-18:30|Wednesday@8:0-18:30|Thursday@8:0-18:30|Friday@8:0-18:30|Saturday@9:30-13:0,BusinessAcceptsCreditCards@True,OH
11213 Detroit Ave,Now Thats Class Lounge,4.0,-81.7656037,44102,Yyag9ZHs0hZ7UIGFC04Vqw,41.482563,49,Restaurants|Dive Bars|Bars|Arts & Entertainment|Music Venues|Nightlife|Breakfast & Brunch,Cleveland,1,Monday@17:0-2:30|Tuesday@17:0-2:30|Wednesday@17:0-2:30|Thursday@17:0-2:30|Friday@17:0-2:30|Saturday@17:0-2:30|Sunday@15:0-2:30,"RestaurantsTakeOut@False, BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, BikeParking@True, Alcohol@ufull_bar, HasTV@True, GoodForKids@False, Caters@False, RestaurantsPriceRange2@1, BusinessAcceptsCreditCards@True, RestaurantsAttire@ucasual, NoiseLevel@uvery_loud, WiFi@ufree, RestaurantsDelivery@False, RestaurantsGoodForGroups@True, RestaurantsReservations@False, OutdoorSeating@True, Music@dj@False, background_music@False, no_music@False, jukebox@True, live@True, video@False, karaoke@False, Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@True, classy@False, trendy@False, upscale@False, casual@False, GoodForMeal@dessert@False, latenight@False, lunch@False, dinner@False, brunch@False, breakfast@False",OH
1545 Sheridan Rd,Mayfield Country Clu,4.5,-81.5093099,44121,VKeZOBNEgzpvCJWODP3nJw,41.5154948,5,Country Clubs|Arts & Entertainment|Golf|Active Life,Cleveland,1,,GoodForKids@True,OH
1415 Euclid Ave,Parnells Irish Pu,4.5,-81.68362594,44115,mrCOQuRY60xAMkQVSf3nCA,41.50247575,42,Irish|Irish Pub|Bars|Restaurants|Pubs|Nightlife,Cleveland,1,Monday@15:0-1:0|Tuesday@15:0-1:0|Wednesday@15:0-1:0|Thursday@15:0-1:0|Friday@15:0-1:0|Saturday@15:0-1:0|Sunday@15:0-1:0,"Alcohol@full_bar, RestaurantsTakeOut@False, HasTV@True, BusinessAcceptsCreditCards@True, RestaurantsDelivery@False, HappyHour@True, RestaurantsAttire@casual, BikeParking@False, RestaurantsReservations@False, RestaurantsGoodForGroups@True, RestaurantsPriceRange2@2, WiFi@no, Ambience@romantic@False, intimate@False, classy@False, hipster@False, divey@False, touristy@False, trendy@False, upscale@False, casual@True, Music@dj@False, background_music@False, no_music@False, jukebox@False, live@False, video@False, karaoke@False, GoodForKids@False, NoiseLevel@uaverage, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, OutdoorSeating@True",OH
2133 Broadview Rd,Gelato Star,4.5,-81.69917129,44109,4sitViZ5-pr9wKjmCSK8ng,41.43771261,3,Food|Gelato|Ice Cream & Frozen Yogurt,Cleveland,0,Monday@12:0-21:0|Tuesday@12:0-21:0|Wednesday@12:0-21:0|Thursday@12:0-21:0|Friday@12:0-21:0|Saturday@12:0-21:0|Sunday@12:0-18:0,"BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, RestaurantsPriceRange2@2, BusinessAcceptsCreditCards@True, WiFi@uno",OH
983 Front Ave,Portside,4.0,-81.70323883,44113,b2jN2mm9Wf3RcrZCgfo1cg,41.50147454,59,Breweries|Event Planning & Services|Pubs|Distilleries|Venues & Event Spaces|Bars|Food|Nightlife,Cleveland,0,Monday@16:0-22:0|Friday@16:0-23:0|Saturday@13:0-23:0|Sunday@13:0-19:0,"BusinessAcceptsCreditCards@True, Caters@True, BusinessParking@garage@False, street@True, validated@False, lot@True, valet@False, RestaurantsPriceRange2@2, BikeParking@True, RestaurantsTakeOut@False",OH
3100 E 45th St Ste 400,Eadie/Hill Trial Lawyers,5.0,-81.6611264,44127,WeAPupbcaBn_uM---YjbDA,41.4743605,3,Personal Injury Law|Professional Services|Lawyers,Cleveland,1,Monday@8:30-18:30|Tuesday@8:30-18:30|Wednesday@8:30-18:30|Thursday@8:30-18:30|Friday@8:30-18:30,,OH
